开盘,收盘,股票代码,日期,day,month,year
2.871,2.871,510050,2022-07-29 09:30:00,29,7,2022
2.864,2.864,510050,2022-07-29 09:31:00,29,7,2022
2.865,2.865,510050,2022-07-29 09:32:00,29,7,2022
2.866,2.866,510050,2022-07-29 09:33:00,29,7,2022
2.869,2.869,510050,2022-07-29 09:34:00,29,7,2022
2.872,2.872,510050,2022-07-29 09:35:00,29,7,2022
2.87,2.87,510050,2022-07-29 09:36:00,29,7,2022
2.869,2.869,510050,2022-07-29 09:37:00,29,7,2022
2.871,2.871,510050,2022-07-29 09:38:00,29,7,2022
2.867,2.867,510050,2022-07-29 09:39:00,29,7,2022
2.869,2.869,510050,2022-07-29 09:40:00,29,7,2022
2.867,2.867,510050,2022-07-29 09:41:00,29,7,2022
2.868,2.868,510050,2022-07-29 09:42:00,29,7,2022
2.868,2.868,510050,2022-07-29 09:43:00,29,7,2022
2.867,2.867,510050,2022-07-29 09:44:00,29,7,2022
2.867,2.867,510050,2022-07-29 09:45:00,29,7,2022
2.866,2.866,510050,2022-07-29 09:46:00,29,7,2022
2.864,2.864,510050,2022-07-29 09:47:00,29,7,2022
2.861,2.861,510050,2022-07-29 09:48:00,29,7,2022
2.864,2.864,510050,2022-07-29 09:49:00,29,7,2022
2.868,2.868,510050,2022-07-29 09:50:00,29,7,2022
2.87,2.87,510050,2022-07-29 09:51:00,29,7,2022
2.872,2.872,510050,2022-07-29 09:52:00,29,7,2022
2.873,2.873,510050,2022-07-29 09:53:00,29,7,2022
2.873,2.873,510050,2022-07-29 09:54:00,29,7,2022
2.877,2.877,510050,2022-07-29 09:55:00,29,7,2022
2.875,2.875,510050,2022-07-29 09:56:00,29,7,2022
2.875,2.875,510050,2022-07-29 09:57:00,29,7,2022
2.875,2.875,510050,2022-07-29 09:58:00,29,7,2022
2.884,2.884,510050,2022-07-29 09:59:00,29,7,2022
2.887,2.887,510050,2022-07-29 10:00:00,29,7,2022
2.888,2.888,510050,2022-07-29 10:01:00,29,7,2022
2.883,2.883,510050,2022-07-29 10:02:00,29,7,2022
2.88,2.88,510050,2022-07-29 10:03:00,29,7,2022
2.88,2.88,510050,2022-07-29 10:04:00,29,7,2022
2.881,2.881,510050,2022-07-29 10:05:00,29,7,2022
2.878,2.878,510050,2022-07-29 10:06:00,29,7,2022
2.876,2.876,510050,2022-07-29 10:07:00,29,7,2022
2.875,2.875,510050,2022-07-29 10:08:00,29,7,2022
2.875,2.875,510050,2022-07-29 10:09:00,29,7,2022
2.874,2.874,510050,2022-07-29 10:10:00,29,7,2022
2.874,2.874,510050,2022-07-29 10:11:00,29,7,2022
2.874,2.874,510050,2022-07-29 10:12:00,29,7,2022
2.874,2.874,510050,2022-07-29 10:13:00,29,7,2022
2.871,2.871,510050,2022-07-29 10:14:00,29,7,2022
2.868,2.868,510050,2022-07-29 10:15:00,29,7,2022
2.866,2.866,510050,2022-07-29 10:16:00,29,7,2022
2.865,2.865,510050,2022-07-29 10:17:00,29,7,2022
2.867,2.867,510050,2022-07-29 10:18:00,29,7,2022
2.868,2.868,510050,2022-07-29 10:19:00,29,7,2022
2.866,2.866,510050,2022-07-29 10:20:00,29,7,2022
2.866,2.866,510050,2022-07-29 10:21:00,29,7,2022
2.862,2.862,510050,2022-07-29 10:22:00,29,7,2022
2.863,2.863,510050,2022-07-29 10:23:00,29,7,2022
2.864,2.864,510050,2022-07-29 10:24:00,29,7,2022
2.865,2.865,510050,2022-07-29 10:25:00,29,7,2022
2.862,2.862,510050,2022-07-29 10:26:00,29,7,2022
2.863,2.863,510050,2022-07-29 10:27:00,29,7,2022
