股票名称,股票代码,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
上证50ETF,510050,2023-05-17 09:31,2.671,2.67,2.673,2.669,103376,27612249.0,0.15,-0.15,-0.004,0.05
上证50ETF,510050,2023-05-17 09:32,2.67,2.668,2.67,2.666,109931,29333556.0,0.15,-0.07,-0.002,0.05
上证50ETF,510050,2023-05-17 09:33,2.668,2.668,2.67,2.667,107300,28627051.0,0.11,0.0,0.0,0.05
上证50ETF,510050,2023-05-17 09:34,2.668,2.665,2.668,2.665,90021,24002100.0,0.11,-0.11,-0.003,0.04
上证50ETF,510050,2023-05-17 09:35,2.665,2.66,2.665,2.659,62035,16513478.0,0.23,-0.19,-0.005,0.03
上证50ETF,510050,2023-05-17 09:36,2.661,2.662,2.664,2.66,80876,21526872.0,0.15,0.08,0.002,0.04
上证50ETF,510050,2023-05-17 09:37,2.662,2.662,2.663,2.661,103094,27445563.0,0.08,0.0,0.0,0.05
上证50ETF,510050,2023-05-17 09:38,2.662,2.659,2.662,2.659,95217,25331463.0,0.11,-0.11,-0.003,0.05
上证50ETF,510050,2023-05-17 09:39,2.659,2.662,2.662,2.658,40732,10834628.0,0.15,0.11,0.003,0.02
上证50ETF,510050,2023-05-17 09:40,2.662,2.664,2.664,2.662,40532,10792943.0,0.08,0.08,0.002,0.02
上证50ETF,510050,2023-05-17 09:41,2.664,2.662,2.664,2.661,66276,17641937.0,0.11,-0.08,-0.002,0.03
上证50ETF,510050,2023-05-17 09:42,2.662,2.663,2.663,2.661,74660,19874041.0,0.08,0.04,0.001,0.04
上证50ETF,510050,2023-05-17 09:43,2.663,2.661,2.664,2.661,39879,10618918.0,0.11,-0.08,-0.002,0.02
上证50ETF,510050,2023-05-17 09:44,2.661,2.662,2.662,2.661,65842,17520357.0,0.04,0.04,0.001,0.03
上证50ETF,510050,2023-05-17 09:45,2.662,2.66,2.662,2.66,48750,12974132.0,0.08,-0.08,-0.002,0.02
上证50ETF,510050,2023-05-17 09:46,2.661,2.661,2.662,2.66,34932,9296836.0,0.08,0.04,0.001,0.02
